source_type,source_id,target_type,target_id,relationships,description
Software,S0038,Technique,T1134,uses,Subject examines running system processes for tokens that have specific system privileges.
Software,S0038,Technique,T1134,uses,"If it finds one, it will copy the token and store it for later use."
Software,S0038,Technique,T1134,uses,Eventually it will start new processes with the stored token attached.
Software,S0038,Technique,T1134,uses,It can also steal tokens to acquire administrative privileges.
Group,G0074,Technique,T1562.004,uses,Subject has disabled host-based firewalls.
Group,G0074,Technique,T1562.004,uses,The group has also globally opened port 3389.
Group,G0004,Technique,T1560.001,uses,Subject is known to use RAR with passwords to encrypt data prior to exfiltration.
Software,S0239,Technique,T1203,uses,Subject leverages a known zero-day vulnerability in Adobe Flash to execute the implant into the victims’ machines.
Software,S0045,Technique,T1027,uses,Most of the strings in Subject are encrypted with an XOR-based algorithm; some strings are also encrypted with 3DES and reversed.
Software,S0045,Technique,T1027,uses,"API function names are also reversed, presumably to avoid detection in memory."
Group,G0074,Technique,T1112,uses,Subject modified the Registry to perform multiple techniques through the use of Subject.
Software,S0128,Technique,T1574.002,uses,Subject typically loads its DLL file into a legitimate signed Java or VMware executable.
Group,G0052,Technique,T1560.001,uses,"Subject uses ZPP, a .NET console program, to compress files with ZIP."
Group,G0006,Technique,T1003.001,uses,Subject has been known to use credential dumping using Subject.
Group,G0079,Technique,T1187,uses,Subject used Subject to launch an authentication window for users to enter their credentials.
Group,G0070,Technique,T1059.003,uses,Subject has used macros in Word documents that would download a second stage if executed.
Group,G0040,Technique,T1082,uses,"Subject collected the victim computer name, OS version, and architecture type and sent the information to its C2 server."
Group,G0040,Technique,T1082,uses,Subject also enumerated all available drives on the victim's machine.
Group,G0065,Technique,T1059.003,uses,"Subject uses a backdoor known as BADFLICK that is is capable of generating a reverse shell, and has used multiple types of scripting for execution, including JavaScript and JavaScript Scriptlets in XML.."
Group,G0067,Technique,T1005,uses,Subject has collected data from victims' local systems.
Group,G0046,Technique,T1036.004,uses,Subject has created a scheduled task named “AdobeFlashSync” to establish persistence.
Group,G0050,Technique,T1218.010,uses,Subject created a Subject that used regsvr32.exe to execute a COM scriptlet that dynamically downloaded a backdoor and injected it into memory.
Group,G0050,Technique,T1218.010,uses,The group has also used regsvr32 to run their backdoor.
Software,S0031,Technique,T1562.004,uses,"The ""ZR"" variant of Subject will check to see if known host-based firewalls are installed on the infected systems."
Software,S0031,Technique,T1562.004,uses,"Subject will attempt to establish a C2 channel, then will examine open windows to identify a pop-up from the firewall software and will simulate a mouse-click to allow the connection to proceed."
Software,S0030,Technique,T1070.004,uses,Subject has a command to delete files.
Group,G0069,Technique,T1036.005,uses,Subject has disguised malicious executables and used filenames and Registry key names associated with Windows Defender.
Group,G0036,Technique,T1021.004,uses,Subject uses Putty for lateral movement.
Group,G0072,Technique,T1546.009,uses,Subject's service-based DLL implant can execute a downloaded file with parameters specified using object6.
Software,S0049,Technique,T1016,uses,Subject collects information on network settings and Internet proxy settings from the victim.
Group,G0045,Technique,T1003.002,uses,Subject has used a modified version of pentesting tools wmiexec.vbs and secretsdump.py to dump credentials.
Group,G0012,Technique,T1091,uses,Subject's selective infector modifies executables stored on removable media as a method of spreading across computers.
Group,G0001,Technique,T1001,uses,"The Subject group has used other forms of obfuscation, include commingling legitimate traffic with communications traffic so that network streams appear legitimate."
Group,G0040,Technique,T1055.012,uses,A Subject payload uses process hollowing to hide the UAC bypass vulnerability exploitation inside svchost.exe.
Group,G0048,Technique,T1102.001,uses,Subject has used an RSS feed on Livejournal to update a list of encrypted C2 server names.
Group,G0037,Technique,T1087.002,uses,Subject has used Metasploit’s Subject NTDSGRAB module to obtain a copy of the victim's Active Directory database.
Software,S0213,Technique,T1113,uses,Subject is capable of capturing screenshots of the victim's machine.
Group,G0022,Technique,T1546.008,uses,Subject replaces the Sticky Keys binary object7 for persistence.
Group,G0008,Technique,T1036.005,uses,"Subject has named malware ""svchost.exe,"" which is the name of the Windows shared service host program."
Group,G0007,Technique,T1105,uses,"Subject has downloaded additional files, including by using a first-stage downloader to contact the C2 server to obtain the second-stage implant."
Group,G0009,Technique,T1047,uses,The Subject group is known to utilize WMI for lateral movement.
Group,G0074,Technique,T1221,uses,Subject has injected SMB URLs into malicious Word spearphishing attachments to initiate Subject.
Group,G0040,Technique,T1559.002,uses,Subject leveraged the DDE protocol to deliver their malware.
Software,S0201,Technique,T1082,uses,Subject can obtain system information such as OS version and disk space.
Group,G0067,Technique,T1204.002,uses,Subject has sent spearphishing attachments attempting to get a user to open them.
Group,G0027,Technique,T1087.001,uses,Subject has used object8 to conduct internal discovery of systems.
Group,G0022,Technique,T1021.001,uses,Subject enables the Remote Desktop Protocol for persistence.
Group,G0022,Technique,T1021.001,uses,Subject has also interacted with compromised systems to browse and copy files through RDP sessions.
Software,S0045,Technique,T1056.001,uses,Subject can perform keylogging.
Group,G0074,Technique,T1114.002,uses,Subject accessed email accounts using Outlook Web Access.
Group,G0049,Technique,T1119,uses,Subject has used automated collection.
Software,S0081,Technique,T1132.001,uses,Subject exfiltrates data using cookie values that are Base64-encoded.
Group,G0067,Technique,T1059.003,uses,Subject has used the command-line interface.
Software,S0268,Technique,T1016,uses,Subject can execute object9 on the victim’s machine.
Group,G0022,Technique,T1005,uses,Subject will identify Microsoft Office documents on the victim's computer.
Group,G0075,Technique,T1566.001,uses,Subject has attached a malicious document to an email to gain initial access.
Group,G0032,Technique,T1098,uses,Subject malware WhiskeyDelta-Two contains a function that attempts to rename the administrator’s account.
Group,G0007,Technique,T1559.002,uses,Subject has delivered Subject and Subject by executing PowerShell commands through DDE in Word documents.
Group,G0007,Technique,T1564.001,uses,Subject has saved files with hidden file attributes.
Group,G0049,Technique,T1070.004,uses,Subject has deleted files associated with their payload after execution.
Software,S0170,Technique,T1027,uses,The Subject config file is encrypted with RC4.
Group,G0007,Technique,T1070.006,uses,Subject has performed timestomping on victim files.
Software,S0023,Technique,T1008,uses,Subject can switch to a new C2 channel if the current one is broken.
Software,S0046,Technique,T1071.001,uses,Subject's main method of communicating with its C2 servers is using HTTP or HTTPS.
Group,G0063,Technique,T1027,uses,Subject's first stage shellcode contains a NOP sled with alternative instructions that was likely designed to bypass antivirus tools.
Group,G0021,Technique,T1555.003,uses,Subject used the public tool BrowserPasswordDump10 to dump passwords saved in browsers on victims.
Group,G0050,Technique,T1033,uses,Subject collected the victim's username and executed the object10 command on the victim's machine.
Group,G0050,Technique,T1033,uses,Subject executed shellcode to collect the username on the victim's machine.
Group,G0060,Technique,T1548.002,uses,Subject has used a Windows 10 specific tool and xxmm to bypass UAC for privilege escalation.
Software,S0127,Technique,T1071.001,uses,Subject uses GET and POST requests over HTTP or HTTPS for command and control to obtain commands and send ZLIB compressed data back to the C2 server.
Group,G0007,Technique,T1566.002,uses,Subject sent spearphishing emails which used a URL-shortener service to masquerade as a legitimate service and to redirect targets to credential harvesting sites.
Software,S0089,Technique,T1055.001,uses,Subject injects its DLL component into svchost.exe.
Software,S0144,Technique,T1562.001,uses,Subject can alter the victim's proxy configuration.
Group,G0047,Technique,T1041,uses,A Subject file stealer can transfer collected files to a hardcoded C2 server.
Group,G0069,Technique,T1547.001,uses,Subject has added Registry Run key object11 to establish persistence.
Group,G0061,Technique,T1566.001,uses,Subject has distributed targeted emails containing Word documents with embedded malicious macros.
Group,G0006,Technique,T1021.001,uses,The Subject group is known to have used RDP during operations.
Group,G0040,Technique,T1560,uses,Subject encrypted the collected files' path with AES and then encoded them with base64.
Group,G0008,Technique,T1078,uses,Subject actors used legitimate credentials of banking employees to perform operations that sent them millions of dollars.
Group,G0032,Technique,T1189,uses,Subject delivered Subject to victims via a compromised legitimate website.
Group,G0037,Technique,T1018,uses,"Subject used publicly available tools to map the internal network and conduct reconnaissance against Active Directory, Structured Query Language servers, and NetBIOS."
Group,G0078,Technique,T1562.001,uses,Subject malware can attempt to disable security features in Microsoft Office and Windows Defender using the object12 command.
Group,G0073,Technique,T1071.001,uses,Subject used HTTP for C2 communications.
Group,G0073,Technique,T1071.001,uses,Subject also used an HTTP malware variant to communicate over HTTP for C2.
Group,G0026,Technique,T1133,uses,Subject actors leverage legitimate credentials to log into external remote services.
Software,S0046,Technique,T1059.003,uses,A module in Subject allows arbitrary commands to be executed by invoking object13.
Group,G0006,Technique,T1005,uses,Subject has collected files from a local victim.
Group,G0018,Technique,T1087.001,uses,Subject actors used the following commands following exploitation of a machine with Subject malware to enumerate user accounts: object14 object15
Software,S0045,Technique,T1120,uses,Subject can list connected devices.
Software,S0245,Technique,T1016,uses,Subject collects the network adapter information.
Group,G0074,Technique,T1189,uses,Subject compromised legitimate organizations' websites to create watering holes to compromise victims.
Group,G0016,Technique,T1203,uses,"Subject has used multiple software exploits for common client software, like Microsoft Word and Adobe Reader, to gain code execution as part of."
Group,G0010,Technique,T1110,uses,Subject may attempt to connect to systems within a victim's network using object16 commands and a predefined list or collection of passwords.
Group,G0078,Technique,T1055.002,uses,"Subject malware can download a remote access tool, Subject, and inject into another process."
Group,G0037,Technique,T1053.005,uses,"Subject has used scheduled tasks to establish persistence for various malware it uses, including downloaders known as HARDTACK and SHIPBREAD and Subject."
Software,S0261,Technique,T1115,uses,Subject steals data stored in the clipboard.
Group,G0072,Technique,T1070.004,uses,Subject removes batch files to reduce fingerprint on the system as well as deletes the CAB file that gets encoded upon infection.
Software,S0182,Technique,T1027,uses,"Subject is heavily obfuscated in many ways, including through the use of spaghetti code in its functions in an effort to confuse disassembly programs."
Software,S0182,Technique,T1027,uses,It also uses a custom XOR algorithm to obfuscate code.
Group,G0074,Technique,T1003.002,uses,Subject dropped and executed SecretsDump to dump password hashes.
Software,S0260,Technique,T1135,uses,Subject can gather network share information.
Group,G0072,Technique,T1560,uses,"Subject adds collected files to a temp.zip file saved in the %temp% folder, then base64 encodes it and uploads it to control server."
Software,S0205,Technique,T1082,uses,Subject collects a unique identifier from a compromised host.
Group,G0069,Technique,T1566.001,uses,Subject has compromised third parties and used compromised accounts to send spearphishing emails with targeted attachments to recipients.
Software,S0282,Technique,T1564.001,uses,Subject stores itself in object17
Group,G0059,Technique,T1083,uses,"Subject malware can list a victim's logical drives and the type, as well the total/free space of the fixed devices."
Group,G0059,Technique,T1083,uses,Other malware can list a directory's contents.
Software,S0235,Technique,T1083,uses,Subject can list all files on a system.
Group,G0010,Technique,T1566.002,uses,Subject attempted to trick targets into clicking on a link featuring a seemingly legitimate domain from Adobe.com to download their malware and gain initial access.
Software,S0169,Technique,T1005,uses,"Subject dumps memory from specific processes on a victim system, parses the dumped files, and scrapes them for credit card data."
Group,G0070,Technique,T1204.002,uses,"Subject makes their malware look like Flash Player, Office, or PDF documents in order to entice a user to click on it."
Software,S0037,Technique,T1102.003,uses,"The ""tDiscoverer"" variant of Subject establishes a C2 channel by downloading resources from Web services like Twitter and GitHub."
Software,S0037,Technique,T1102.003,uses,Subject binaries contain an algorithm that generates a different Twitter handle for the malware to check for instructions every day.
Software,S0268,Technique,T1218.011,uses,Subject uses rundll32.exe to execute as part of the Registry Run key it adds: object18.
Software,S0204,Technique,T1547.001,uses,Subject creates run key Registry entries pointing to malicious DLLs dropped to disk.
Software,S0021,Technique,T1113,uses,Subject is capable of performing screen captures.
Group,G0006,Technique,T1560.001,uses,Subject has used RAR to compress files before moving them outside of the victim network.
Group,G0018,Technique,T1069.001,uses,Subject actors used the following command following exploitation of a machine with Subject malware to list local groups: object19
Group,G0049,Technique,T1113,uses,Subject has a tool called CANDYKING to capture a screenshot of user's desktop.
Group,G0012,Technique,T1553.002,uses,Subject has used code-signing certificates on its malware that are either forged due to weak keys or stolen.
Group,G0012,Technique,T1553.002,uses,Subject has also stolen certificates and signed backdoors and downloaders with them.
Group,G0016,Technique,T1546.008,uses,"Subject used sticky-keys to obtain unauthenticated, privileged console access."
Software,S0089,Technique,T1113,uses,Subject is capable of taking screenshots.
Group,G0032,Technique,T1564.001,uses,Subject has used a VBA Macro to set its file attributes to System and Hidden and has named files with a dot prefix to hide them from the Finder application.
Group,G0007,Technique,T1120,uses,Subject uses a module to receive a notification every time a USB mass storage device is inserted into a victim.
Group,G0043,Technique,T1070.004,uses,Malware used by Subject is capable of remotely deleting files from victims.
Group,G0040,Technique,T1105,uses,Subject payloads download additional files from the C2 server.
Group,G0037,Technique,T1560.003,uses,"Subject has encoded data gathered from the victim with a simple substitution cipher and single-byte XOR using the 0xAA key, and Base64 with character permutation."
Group,G0077,Technique,T1046,uses,Subject scanned network services to search for vulnerabilities in the victim system.
Group,G0032,Technique,T1055.001,uses,A Subject malware sample performs reflective DLL injection.
Group,G0010,Technique,T1012,uses,Subject surveys a system upon check-in to discover information in the Windows Registry with the object20 command.
Group,G0010,Technique,T1012,uses,Subject has also retrieved PowerShell payloads hidden in Registry keys as well as checking keys associated with null session named pipes .
Group,G0079,Technique,T1566.001,uses,Subject has sent spearphishing emails with password-protected RAR archives containing malicious Excel Web Query files .
Group,G0079,Technique,T1566.001,uses,The group has also sent spearphishing emails that contained malicious Microsoft Office documents that use the “attachedTemplate” technique to load a template from a remote server.
Group,G0074,Technique,T1018,uses,Subject likely obtained a list of hosts in the victim environment.
Group,G0059,Technique,T1105,uses,Subject has downloaded additional code and files from servers onto victims.
Group,G0067,Technique,T1555.003,uses,Subject has used a credential stealer known as ZUMKONG that can harvest usernames and passwords stored in browsers.
Group,G0007,Technique,T1113,uses,Subject has used tools to take screenshots from victims.
Software,S0115,Technique,T1082,uses,Subject contains a command to collect the victim PC name and operating system.
Group,G0068,Technique,T1068,uses,Subject has leveraged a zero-day vulnerability to escalate privileges.
Group,G0040,Technique,T1203,uses,Subject uses malicious documents to deliver remote execution exploits as part of.
Group,G0040,Technique,T1203,uses,"The group has previously exploited CVE-2017-8570, CVE-2012-1856, CVE-2014-4114, CVE-2017-0199, CVE-2017-11882, and CVE-2015-1641."
Software,S0128,Technique,T1120,uses,"Subject checks for new hard drives on the victim, such as USB devices, by listening for the WM_DEVICECHANGE window message."
Group,G0007,Technique,T1083,uses,"Subject has used Subject to locate PDF, Excel, and Word documents during collection."
Group,G0007,Technique,T1083,uses,The group also searched a compromised DCCC computer for specific terms.
Group,G0080,Technique,T1071.001,uses,Subject has used HTTPS for C2.
Group,G0022,Technique,T1053.005,uses,An Subject downloader creates persistence by creating the following scheduled task: object21.
Software,S0081,Technique,T1547.001,uses,"If establishing persistence by installation as a new service fails, one variant of Subject establishes persistence for the created .exe file by setting the following Registry key: object22."
Software,S0081,Technique,T1547.001,uses,Other variants have set the following Registry keys for persistence: object23 and object24.
Group,G0022,Technique,T1083,uses,Subject has a tool that looks for files and directories on the local file system.
Software,S0201,Technique,T1055,uses,Subject can inject content into lsass.exe to load a module.
Software,S0051,Technique,T1105,uses,Subject can download additional encrypted backdoors onto the victim via GIF files.
Software,S0167,Technique,T1547.001,uses,Subject can establish persistence by adding Registry Run keys.
Software,S0149,Technique,T1016,uses,Subject obtains the victim IP address.
Software,S0147,Technique,T1071.001,uses,Subject can use HTTP for C2.
Group,G0032,Technique,T1218.001,uses,Subject has used CHM files to move concealed payloads.
Group,G0050,Technique,T1505.003,uses,Subject has used Web shells to maintain access to victim websites.
Group,G0008,Technique,T1543.003,uses,Subject malware installs itself as a service to provide persistence and SYSTEM privileges.
Software,S0234,Technique,T1113,uses,Subject is capable of taking an image of and uploading the current desktop.
Group,G0080,Technique,T1053.005,uses,Subject has created Windows tasks to establish persistence.
Software,S0089,Technique,T1543.003,uses,One variant of Subject creates a new service using either a hard-coded or randomly generated name.
Software,S0128,Technique,T1053.005,uses,Subject creates a scheduled task to establish by executing a malicious payload every subsequent minute.
Software,S0232,Technique,T1027,uses,Some strings in Subject are obfuscated with XOR x56.
Software,S0256,Technique,T1047,uses,Subject's installer uses WMI to search for antivirus display names.
Group,G0059,Technique,T1059.005,uses,Subject malware has used VBS scripts for execution.
Software,S0211,Technique,T1059.003,uses,Subject creates a backdoor through which remote attackers can start a remote shell.
Software,S0021,Technique,T1125,uses,Subject is capable of capturing video.
Software,S0182,Technique,T1056.004,uses,Subject hooks processes by modifying IAT pointers to CreateWindowEx.
Software,S0182,Technique,T1134.001,uses,Subject uses token manipulation with NtFilterToken as part of UAC bypass.
Group,G0016,Technique,T1548.002,uses,Subject has bypassed UAC.
Group,G0007,Technique,T1070.001,uses,"Subject has cleared event logs, including by using the commands object25 and object26."
Group,G0050,Technique,T1068,uses,Subject has used CVE-2016-7255 to escalate privileges.
Group,G0004,Technique,T1082,uses,Subject performs operating system information discovery using object27.
Group,G0059,Technique,T1114.001,uses,Subject has collected .PST archives.
Group,G0012,Technique,T1080,uses,Subject used a virus that propagates by infecting executables stored on shared drives.
Software,S0260,Technique,T1560.003,uses,Subject uses a variation of the XOR cipher to encrypt files before exfiltration.
Group,G0072,Technique,T1057,uses,Subject gathers a list of processes using the object28 command and then is sent back to the control server.
Group,G0007,Technique,T1204.002,uses,Subject attempted to get users to click on Microsoft Office attachments containing malicious macro scripts.
Group,G0067,Technique,T1082,uses,"Subject collects the computer name, the BIOS model, and execution path."
Software,S0252,Technique,T1012,uses,Subject gathers information about the Registry.
Group,G0061,Technique,T1078,uses,Subject has utilized Subject during and Subject and Subject.
Group,G0049,Technique,T1021.004,uses,Subject has used Putty to access compromised systems.
Group,G0067,Technique,T1033,uses,Subject identifies the victim username.
Group,G0006,Technique,T1059.003,uses,"Subject has used the Windows command shell to execute commands, and batch scripting to automate execution."
Group,G0060,Technique,T1053.002,uses,Subject has used Subject to register a scheduled task to execute malware during lateral movement.
Group,G0080,Technique,T1204.002,uses,Subject has sent emails containing malicious attachments that require users to execute a file or macro to infect the victim machine.
Software,S0080,Technique,T1059.003,uses,Subject has the capability to open a remote shell and run basic commands.
Group,G0049,Technique,T1069.001,uses,Subject has used object29 to find local administrators on compromised systems.
Group,G0050,Technique,T1059.001,uses,"Subject has used PowerShell-based tools, PowerShell one-liners, and shellcode loaders for execution."
Group,G0010,Technique,T1059.001,uses,"Subject has used PowerShell to execute commands/scripts, in some cases via a custom executable or code from Subject's PSInject."
Group,G0010,Technique,T1059.001,uses,Subject has also used PowerShell scripts to load and execute malware in memory.
Software,S0045,Technique,T1070.004,uses,Subject can delete files and directories.
Group,G0032,Technique,T1542.003,uses,Subject malware WhiskeyAlfa-Three modifies sector 0 of the Master Boot Record to ensure that the malware will persist even if a victim machine shuts down.
Group,G0053,Technique,T1070.004,uses,Subject uses Subject to clean up the environment and attempt to prevent detection.
Group,G0009,Technique,T1027.005,uses,"Subject has updated and modified its malware, resulting in different hash values that evade detection."
Group,G0022,Technique,T1105,uses,Subject has a tool that can copy files to remote machines.
Group,G0080,Technique,T1566.002,uses,Subject has sent emails with URLs pointing to malicious documents.
Group,G0007,Technique,T1546.015,uses,Subject has used COM hijacking for persistence by replacing the legitimate object30 object with a payload.
Group,G0074,Technique,T1070.001,uses,"Subject cleared Windows event logs and other logs produced by tools they used, including system, security, terminal services, remote services, and audit logs."
Group,G0074,Technique,T1070.001,uses,The actors also deleted specific Registry keys.
Group,G0061,Technique,T1560.001,uses,Subject has used RAR to compress collected data before Subject.
Software,S0050,Technique,T1543.003,uses,"Subject uses Windows services typically named ""javamtsup"" for persistence."
Group,G0016,Technique,T1059.001,uses,Subject has used encoded PowerShell scripts uploaded to Subject installations to download and install Subject.
Group,G0016,Technique,T1059.001,uses,"Subject also used PowerShell to create new tasks on remote machines, identify configuration settings, evade defenses, exfiltrate data, and to execute other commands.."
Software,S0062,Technique,T1056.001,uses,Subject contains a keylogger.
Software,S0256,Technique,T1105,uses,Subject can upload and download files to the victim.
Software,S0244,Technique,T1016,uses,Subject uses object31 and object32 to identify network adapter and interface information.
Software,S0045,Technique,T1546.015,uses,Some variants of Subject achieve persistence by registering the payload as a Shell Icon Overlay handler COM object.
Software,S0152,Technique,T1056.001,uses,Subject has the capability to capture keystrokes.
Software,S0203,Technique,T1543.003,uses,Subject creates new services to establish persistence.
Software,S0023,Technique,T1092,uses,"Part of Subject's operation involved using Subject modules to copy itself to air-gapped machines, using files written to USB sticks to transfer data and command traffic."
Software,S0284,Technique,T1070.004,uses,Subject can remove itself from a system.
Group,G0080,Technique,T1046,uses,Subject leveraged an open-source tool called SoftPerfect Network Scanner to perform network scanning.
Software,S0129,Technique,T1059.001,uses,Subject downloads a PowerShell script that decodes to a typical shellcode loader.
Software,S0150,Technique,T1030,uses,Subject uploads data in 2048-byte chunks.
Software,S0148,Technique,T1059.003,uses,Subject uses the command line and rundll32.exe to execute.
Group,G0045,Technique,T1078,uses,Subject has used valid accounts including shared between Managed Service Providers and clients to move between the two environments.
Group,G0038,Technique,T1059,uses,Subject malware uses WMI to script data collection and command execution on the victim.
Software,S0226,Technique,T1055.012,uses,Subject spawns a new copy of c:\windows\syswow64\explorer.exe and then replaces the executable code in memory with malware.
Group,G0037,Technique,T1021.001,uses,Subject used RDP to move laterally in victim networks.
Group,G0009,Technique,T1021.002,uses,Subject uses net.exe to connect to network shares using object33 commands with compromised credentials.
Group,G0032,Technique,T1021.001,uses,Subject malware SierraCharlie uses RDP for propagation.
Group,G0016,Technique,T1204.002,uses,"Subject has used various forms of spearphishing attempting to get a user to open attachments, including, but not limited to, malicious Microsoft Word documents, .pdf, and .lnk files."
Software,S0093,Technique,T1132.001,uses,"Some Subject samples use standard Base64 + bzip2, and some use standard Base64 + reverse XOR + RSA-2048 to decrypt data received from C2 servers."
Software,S0192,Technique,T1134.001,uses,Subject can obtain a list of SIDs and provide the option for selecting process tokens to impersonate.
Software,S0265,Technique,T1071.001,uses,Subject uses HTTP and HTTPS to communicate with the C2 server.
Software,S0265,Technique,T1071.001,uses,Subject can also act as a webserver and listen for inbound HTTP requests through an exposed API.
Group,G0060,Technique,T1036.005,uses,Subject has given malware the same name as an existing file on the file share server to cause users to unwittingly launch and install the malware on additional systems.
Group,G0077,Technique,T1110.003,uses,Subject used a tool called Total SMB BruteForcer to perform internal password spraying.
Software,S0107,Technique,T1070.004,uses,Recent versions of Subject delete files and registry keys created by the malware.
Software,S0136,Technique,T1070.004,uses,Subject has several commands to delete files associated with the malware from the victim.
Software,S0182,Technique,T1574.001,uses,A Subject variant uses DLL search order hijacking.
Software,S0132,Technique,T1573.001,uses,Subject encrypts C2 traffic using an RC4 key.
Group,G0031,Technique,T1027,uses,"Subject has encoded payloads with a single-byte XOR, both skipping the key itself and zeroing in an attempt to avoid exposing the key."
